t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,,,,
#,MicrogenerationGrants,Micro-Generation Grants,default,"PowerSurplus, EnergyEfficiency, MiddleIncome, Environmentalist, Environmentalist_freq, -Capitalist;  These grants are given to citizens to help subsidize the cost of energy micro-generation systems such as solar panels and wind turbines. This is a good way to take advantage of some people's desire to make a personal step towards cleaner and greener energy, and will increase the country's overall energy efficiency.",,10,2,1,1,WELFARE,100,1100,"GDP,0.25+(0.75*x)",8,0,0,,#Effects,"PowerSurplus,0.1+(0.1*x)","EnergyEfficiency,0.03+(0.02*x)","_MiddleIncome,0.03+(0.02*x)","Environmentalist,0.05+(0.05*x)","Environmentalist_freq,0.05+(0.05*x)","Capitalist,0-(0.3*x)",,,,,,,,
#,AntibioticsBan,Safe Antibiotic Use,default,"Health, FoodPrice, Environmentalist, -Capitalist;  Ranchers and Rural have been feeding antibiotics to livestock since they discovered decades ago that small doses of antibiotics administered daily make most animals gain additional weight. Although conclusive evidence directly linking the use of drugs in food animals to an increase in drug-resistant bacteria has not been uncovered, a number of recent studies suggesting such a link concern many scientists. Banning antibiotics leads to decreased meat production but ensures consumer safety.",,10,2,1,1,WELFARE,20,50,,1,0,0,,#Effects,"Health,0.03+(0.02*x),8","FoodPrice,0+(0.15*x),16","Environmentalist,0.03+(0.02*x)","Capitalist,0-(0.1*x)",,,,,,,,,,
#,WelfareFraudDept,Welfare Fraud Dept.,welfarefraud,"Conservatives, MiddleClass, -Poor;  When government gives so much money out in welfare payments, it's essential that the money is correctly targeted and not exploited by people making spurious claims. A dedicated fraud department will detect false claimants, recover lost money and reassure middle income tax payers that their taxes are being spent wisely, although it can antagonize legitimate claimants.",,10,2,1,1,WELFARE,120,155,,3,115,800,"ChildcareProvision,0+(0.25*x);DisabilityBenefit,0+(0.25*x);StateHousing,0+(0.25*x);UnemployedBenefit,0+(0.25*x)",#Effects,"Conservatives,0.06+(0.06*x)","MiddleIncome,0.05+(0.05*x)","Poor,-0.01-(0.09*x)",,,,,,,,,,,
#,ChildcareProvision,Childcare Provision,default,"LowIncome, MiddleIncome, -Unemployment, WorkingWeek, Equality, Poor, Parents, Parents_freq;  By giving state subsidies for childcare, we can ensure more parents return to the workforce after having children, and therefore benefit the economy. Although this can be expensive, and is also a distortion of the market, it is popular with parents.",,15,5,1,1,WELFARE,400,5020,"GDP,0.4+(0.6*x)",1,0,0,,#Effects,"_LowIncome,0.05+(0.05*x)","_MiddleIncome,0.02+(0.02*x)","Unemployment,0-(0.05*x)","WorkingWeek,0+(0.1*x)","Equality,0.05+(0.15*x)","Poor,0.05+(0.05*x)","Parents,0.1+(0.1*x)","Parents_freq,0+(0.1*x),4",,,,,,
#,CleanEnergySubsidies,Clean Energy Subsidies,default,"EnergyEfficiency, Environmentalist;  Environment, Energy Efficiency, CO2. Renewable energy might not be ultra efficient yet, but there is an argument for investing heavily in it now so as to strategically prepare our country for a future without fossil fuels. Environmentalists are happy for obvious reasons, but capitalists see it as an unwelcome distortion of the energy market.",,15,2,1,1,WELFARE,590,1560,"GDP,0.2+(0.8*x)",8,0,0,,#Effects,"EnergyEfficiency,0.1+(0.1*x)","Environmentalist,0.05+(0.05*x)",,,,,,,,,,,,
#,CompulsoryFoodLabelling,Compulsory Food Labelling,default,"-Obesity, Health, -Capitalist, -GDP;  There is plenty of food out there that is not healthy, but companies have found clever ways to obscure that by making it look extra tasty or put the ingredients list in smallest print. This is now over with Compulsory Food Labelling: All foods must now display all the ingredients and additives in it, making it easier for people to choose the food they want to eat while remaining healthy.",,15,5,1,1,WELFARE,30,120,,1,0,0,,#Effects,"Obesity,-0.02-(0.03*x),12","Health,0.02+(0.03*x),8","Capitalist,0-(0.02*x)","GDP,0-(0.01*x),8",,,,,,,,,,
#,EcoHomeRegulations,Eco-home Regulations,default,"EnergyEfficiency, Environmentalist, -Capitalist;  By setting rules and standards for houses towards eco-friendliness, there are many more things to be considered now when building houses. This may cause a hassle for developers and landlords, but it will help protect the environment in the long run.",,15,5,1,1,WELFARE,30,120,,4,0,0,,#Effects,"EnergyEfficiency,0.05+(0.05*x)","Environmentalist,0.02+(0.03*x)","Capitalist,0-(0.2*x)",,,,,,,,,,,
#,ClimateChangeAdaptionFund,Flood Walls,default,"-Unemployment, Rural, Poor, Environmentalist;  Severe Weather, Flooding, Unemployment. Global warming has lead to increased frequency and severity of natural disasters. The Climate Change Adaption Fund finances large-scale projects from dams to weather satellites, from reforesting to water reservoirs. It might be expensive, but environmentalists and Rural call for this policy.",,15,5,1,1,WELFARE,2000,16000,"GDP,0.25+(0.75*x)",18,0,0,,#Effects,"Unemployment,0-(0.1*x),18",,,,,,,,,,,,,
#,FoodStamps,Food Stamps,default,"LowIncome, -PovertyRate, Poor, Health, Socialist;  Food stamps is a system where the state will issue vouchers or 'stamps' to those citizens on low or no income, to ensure they are able to afford food. Unlike giving a straight cash benefit, food stamps can only be redeemed for uncooked food, preventing them being used for unhealthy takeaway food. Supporters see food stamps as a valuable way to ensure nobody goes hungry, no matter their income. Critics consider such a scheme patronizing, and no more than papering over the cracks caused by free market failure and low wages.",,15,5,1,1,WELFARE,250,10000,"Poor_perc,0+(1.0*x);FoodPrice,0+(1.0*x)",1,0,0,,#Effects,"_LowIncome,0.1+(FoodPrice*x)","PovertyRate,-0.1-(FoodPrice*x)","Poor,0.04+(0.15*x)","Health,0.01+(0.02*x),8","Socialist,0.02+0.08*x)",,,,,,,,,
#,FreeSchoolMeals,Free School Meals,default,"LowIncome,0.25*(FoodPrice*x), Poor, Health, Socialist, -PovertyRate, Parents, Parents_freq, -Obesity;  Not only are free school meals a way of redistributing wealth by ensuring everyone can afford to feed their children, its also a way to ensure that children eat healthily rather than surviving purely on junk food.",,15,5,1,1,WELFARE,110,320,"FoodPrice,0.1+(0.9*x)",1,0,0,,#Effects,"Education,0.05+(0.05*x),16","Health,0.05+(0.05*x),16","_LowIncome,0.25*(FoodPrice*x)","PovertyRate,-0.25*(FoodPrice*x)","Poor,0.05+(0.05*x)","Parents_freq,0.05+(0.05*x)","Parents,0.1+(0.1*x)","Obesity,-0.05-(0.05*x),16",,,,,,
#,GreenElectronicsInitiative,Green Electronics Initiative,default,"EnergyEfficiency, Environmentalist, -Capitalist;  The goal of the Green Electronics Initiative is to reduce electronic waste. From cleaner mining operations to upcycling projects, a broad array of measures should make the digital world a cleaner place.",,15,5,1,1,WELFARE,80,240,"_default_,0.5;Technology,0.5*(x^2)",6,0,0,,#Effects,"EnergyEfficiency,0.05+(0.05*x)","Environmentalist,0.02+(0.03*x)","Capitalist,0-(0.1*x)",,,,,,,,,,,
#,HealthFoodSubsidies,Health Food Subsidies,default,"Health, LowIncome;  A tax incentive that makes healthy food, such as fruit and vegetables, cheaper than the higher fat or higher sugar foods. Seen as an incentive to eat well, rather than a punishment for eating badly, and thus less punitive on the poor than a 'fat tax'.",,15,5,1,1,WELFARE,12,90,"Health,0.75+(0.25*x)",1,0,0,,#Effects,"Health,0.03+(0.06*x),8","_LowIncome,0.02+(0.02*x)",,,,,,,,,,,,
#,Recycling,Recycling,recycling,"Environmentalist, Environment;  Supporters of recycling argue that dumping waste in landfills just isn't a long term solution, and the government needs to show the way by providing facilities to recycle as many waste materials as possible. This might include recycling newspapers, cardboard, bottles and even some plastics.",,15,5,1,1,WELFARE,100,2000,"GDP,0.2+(0.8*x)",5,0,0,,#Effects,"Environment,0.1+(0.05*x)","Environmentalist,0.05+(0.05*x)",,,,,,,,,,,,
#,PollutionControls,Pollution Controls,pollutioncontrols,"Environment, -GDP, CO2-Emissions, Environmentalist, -Capitalist;  Restrictions on what chemicals and emissions can be released into the atmosphere. Controls reduce pollution and increase health, possibly at the cost of economic competitiveness.",,25,10,2,2,WELFARE,10,24,,4,0,0,,#Effects,"Environment,0.2+(x^0.2)*0.1,12","CO2Emissions,-0.15*(x^4),12","GDP,0-(0.05*x),4","Environmentalist,0.1+(0.1*x)","Capitalist,-0.1-(0.3*x)",,,,,,,,,
#,StateHealthService,State Health Service,healthservice,"Health, -LowIncome, StateEmployees_freq, StateEmployees_income, StateEmployees, Retired, Rural, -Capitalist, Socialist;  Although many citizens would be happy to pay privately for their own health treatment, there is an argument that the state has a duty to provide a minimum level of free health treatment for everyone regardless of income. Health provision can be expensive, so it's a matter of debate as to how much should be spent.",,40,50,2,2,WELFARE,1200,12000,"_default_,0.7;Environment,0-(0.2*x);TobaccoUse,0+(0.1*x);Alcoholism,0+(0.1*x);DrugAddiction,0+(0.1*x)",11,0,0,,#Effects,"Health,0.1+(0.2*x),4","_LowIncome,0.2*(x-0.12)^0.2","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","StateEmployees,0.00+(0.1*x)","Retired,0.1+(0.05*x)","Farmers,0+(0.2*x)","Capitalist,-0.05-(0.05*x)","Socialist,0.05+(0.05*x)",,,,,
#,Mandatorymicrogeneration,Mandatory Microgeneration,default,"PowerSurplus, EnergyEfficiency, Environmentalist, -Everyone, -Capitalist;  One of the biggest cost factor in our lives these days is electricity and heat. By making micro generation mandatory, every citizen has the task of generating at least a part of his or her electricity by using solar or wind power, depending on their situation and where they live. A big step towards lowering CO2 Emissions.",,45,10,2,2,WELFARE,20,240,,8,0,0,,#Effects,"PowerSurplus,0.15+(0.15*x)","EnergyEfficiency,0.1+(0.1*x)","Environmentalist,0.1+(0.1*x)","_All_,0-(0.3*x)","Capitalist,0-(0.5*x)",,,,,,,,,
